forest500_name,permid
AEON Co. Ltd.,4295880522
Ahold Delhaize,4295884672
Ajinomoto Co Inc,4295877401
Amazon.com,4295905494
AmorePacific Corp,4295882465
Archer Daniels Midland Co.,4295903463
Associated British Foods Plc,4295894968
Barry Callebaut AG,4295890660
BASF SE,4295869198
Bunge Ltd,might be added later
Campbell Soup Co,4295903649
Carrefour Group,4295866751
Cencosud,4295863527
China Resources Company Limited,4295872011
China State Construction Engineering Corp.,5000032093
CK Hutchison Holdings,5045492543
Clariant,4295890576
Colgate-Palmolive Co.,4295903113
Dai Nippon Printing,4295877345
"Danone, Groupe",4295867387
Domino's Pizza Inc,4295899533
Essity,5052544698
Fast Retailing,4295877191
Grupo Bimbo SAB de CV,4295884506
"Guangdong Wens Foodstuff Group Co., Ltd",4298153588
Henkel AG & Co,4295869260
Hershey Co.,4295904171
H & M Hennes & Mauritz AB,4295890262
Inditex S.A.,4295889432
Inner Mongolia Yili Industrial Group Co. Ltd.,4295864263
JBS,4295860302
JM Smucker,4295908680
Johnson & Johnson,4295904341
J Sainsbury's PLC,4295895145
Kao Corp.,4295877427
Kellogg Co.,4295903052
Kikkoman Corp.,4295877156
Kingfisher,4295895853
Kuala Lumpur Kepong Bhd.,4295883331
Kraft Heinz Co.,5038908093
Lear Corp.,4295904406
LVMH Moet Hennessy Louis Vuitton S.A.,4295866862
Meiji Holdings Co. Ltd.,4298102354
Mitsubishi Corp.,4295880570
Mitsui & Co. Ltd,4295880574
Mondelez International Inc,4295899791
Nike Inc.,4295904620
Nine Dragons Paper Holdings,4295864494
Nitori Holdings Co. Ltd.,4295877096
Orkla Group,4295885572
PepsiCo Inc,4295904718
Pou chen,4295891367
"Procter & Gamble Co, The",4295903247
PT Astra International TBK,4295874361
Reckitt Benckiser Group PLC,4295894756
Royal Dutch Shell,4295885039
Saint Gobain S.A.,4295867362
Sekisui House Ltd.,4295879828
Seven & I Holdings Co Ltd,4295880490
Shiseido Co. Ltd.,4295877428
Shanghai Construction Group,4295865084
Sime Darby Bhd.,5000046644
Starbucks Corp.,4295908005
Stora Enso,4295866448
Suzano SA,4295860372
Sysco,4295905023
Target Corp,4295912282
Tesco PLC,4295895258
The Clorox Company,4295903733
The Home Depot,4295903148
The Kroger Co.,4295903182
Tyson Foods Inc.,4295905141
Unilever PLC,4295894770
VF Corp.,4295905197
Walgreens Boots Alliance,5043951500
Walmart Inc,4295905298
Want Want,4295865031
Westrock,5063196140
WH Group,5038044355
Wilmar International Ltd,4295887677
Yakult Honsha Co. Ltd.,4295878046
Kimberly-Clark Group,4295904369
Marubeni Corp.,4295880543
UPM,4295866353
COFCO,might be added later
AAK AB,might be added later
Adecoagro S.A.,might be added later
Adidas Group,4295868725
Adient,might be added later
Aditya Birla Group,might be added later
Alicorp,might be added later
Amaggi,might be added later
Ameropa Ltd.,might be added later
Aokang Group Co. Ltd.,might be added later
Asics Corp.,might be added later
Bata Corp,might be added later
Behshahr Industrial Development Corp.,might be added later
Beidahuang Group,might be added later
Belle International Holdings Ltd.,might be added later
Best Group,might be added later
BioMar,might be added later
Bhartiya International Ltd,might be added later
Bio-Pappel,might be added later
BRF Brasil Foods S.A.,might be added later
Bricapar S.A.,might be added later
Bright Food (Group) Co. Ltd.,might be added later
Calbee Inc.,might be added later
Capri Holdings,might be added later
Cargill Inc,might be added later
Casino Guichard Perrachon S.A.,might be added later
Charoen Pokphand Group,might be added later
CJ Cheiljedang Corporation,4295882291
Costco Wholesale Corporation,4295912987
Coty Inc,might be added later
Cresud S.A.,might be added later
Cyrela Brazil Realty,might be added later
Daio Paper Corporation,might be added later
Daiwa House Group,4295876861
Dekel Agri-Vision PLC,might be added later
Ebro Foods,might be added later
Eight Capital Inc.,might be added later
Emami Ltd.,might be added later
Feihe International Inc.,might be added later
Felda Global Ventures Holdings Bhd.,might be added later
"Fleury Michon, Groupe",might be added later
Fonterra Cooperative Group Ltd,might be added later
ForFarmers B.V.,might be added later
Gap Inc.,might be added later
General Mills Inc.,4295904061
Genting Bhd.,4295883159
GlaxoSmithKline Plc,4295895781
Godrej Group,4297771460
Groupe Savencia S.A.,might be added later
Grupo SLC,might be added later
Haid Group,5000442655
"Hain Celestial Group, Inc.",might be added later
Hengan International,4295871680
Hormel Foods Corp.,4295904183
Inspire Brands,might be added later
"International Flavors & Fragrances, Inc (IFF)",4295904309
International Paper,4295903177
IOI Corporation Bhd.,4295883100
Japfa Ltd,might be added later
Kencana Agri Ltd,might be added later
Kering S.A.,4295867170
Kewpie Corp.,might be added later
Koninklijke DSM N.V.,might be added later
Lindt & Sprungli AG,might be added later
Li Ning Company Ltd.,4295871926
L'Oréal Groupe,4295867384
Lotte Co. Ltd.,might be added later
"Lowe's Companies, Inc.",4295904432
Marfrig Global Foods,might be added later
McDonald's Corporation,4295904499
Metro AG,might be added later
Mewah International Inc.,might be added later
Minerva S.A.,might be added later
Mondi Group,4295898932
Natura&Co,might be added later
Natuzzi,might be added later
Neste Corp.,4295866391
Nestlé S.A.,4295890634
New Hope Group,might be added later
Nisshin OilliO Group Ltd.,might be added later
Nippon Paper Industries Co. Ltd.,might be added later
Nomad Foods Ltd,might be added later
Oji Holdings Corp,4295877423
Olam International,might be added later
Pentland Group,might be added later
Prada SpA,might be added later
Precious Woods Holding AG,might be added later
RELX Group,4295894769
Restaurant Brands International Inc,5043951565
Rougier SA,might be added later
Salim Group,might be added later
Samko Timber Ltd.,might be added later
Sampoerna Agri Resources Pte. Ltd,might be added later
Samsonite International S.A.,might be added later
Shandong Chenming Paper Holdings Co.ltd.,might be added later
Sipef Group,might be added later
Skechers USA Inc.,might be added later
Socfin Group,might be added later
Sumitomo Forestry,might be added later
Tangrenshen Group (TRS),might be added later
Tangshan sanyou,might be added later
Tapestry,might be added later
Tetra Laval,4295890323
The Woodbridge Company Ltd,might be added later
Toyo Suisan Kaisha Ltd.,might be added later
Triputra Group,might be added later
Toyota Group,4295876746
Tradewinds (M) Berhad,might be added later
Unicharm Corporation,4295878521
Uni-President Enterprises Corp.,4295891064
VW Group,4295869244
X5 Group,might be added later
Yamazaki Baking Co.,might be added later
YPF,might be added later
Yum! Brands Inc,4295905127
Abrdn,4295897744
Agricultural Bank of China,5000014265
Allianz,4295870171
Ameriprise Financial,4295899980
Banco do Brasil,4295859896
Bank Central Asia,4295874754
Bank Mandiri,4295874338
Bank Negara Indonesia,4295874492
Bank of America,8589934339
Bank of China,4295863670
Bank of Communications,4295864463
Bank of New York Mellon,5000001034
Bank of Philippine Islands,5000066211
Bank Rakyat Indonesia,4295874766
Barclays,8589934333
BlackRock,4295900990
BNP Paribas,8589934326
Bradesco,4295859689
BTG Pactual,5000053637
China Construction Bank,4295863663
CIMB Group,4295883663
CITIC,4295863856
Citigroup,8589934316
Commerzbank,8589934314
Crédit Agricole,8589934312
Daiwa Securities,4295880501
DBS,4295888106
Deutsche Bank,4295869482
"Equitable Holdings, Inc.",5000037947
Fidelity Investments,4295899817
Fifth Third Bancorp,4295906442
Franklin Resources,4295904023
Goldman Sachs,4295911963
HDFC Bank,4295873232
HSBC,8589934275
ICICI Bank,4295873612
Industrial and Commercial Bank of China,4295863742
Intesa Sanpaolo,4295875735
Invesco,4298042021
Itaú Unibanco,4295859722
Kasikornbank,4295893041
Krung Thai Bank,4295892709
Legal & General,4295895043
Lloyds Banking Group,8589934254
Macquarie Group,5000055834
Malayan Banking,4295884238
Manulife Financial,4295862758
Mizuho Financial Group Inc.,4295878505
Morgan Stanley,4295904557
NatWest Group,8589934212
Nomura,5046662606
Nordea,5060588378
Northern Trust,4295907415
Orix Corporation,4295876581
Power Corp. of Canada,4295860768
Principal Financial Group,4295901744
Prudential Financial (US),4295901925
Public Bank Bhd.,4295884204
Raymond James Financial,8589934220
Royal Bank of Canada,8589934213
Schroders,4295895179
Skandinaviska Enskilda Banken,8589934200
Société Générale,5000039357
Standard Chartered,4295895205
State Bank of India,4295873809
State Street,4295904976
Sumitomo Mitsui Trust,4295878477
Sun Life Financial,4295861241
Toronto-Dominion Bank,4295862902
Truist Financial Corp.,4295903505
UBS,5043337560
UniCredit,4295875726
US Bancorp,8589934183
Vanguard,4295892129
Wells Fargo,8589934175
ABN Amro,5000757618
3G Capital,might be added later
Affiliated Managers Group,might be added later
American International Group (AIG),4295903341
Australia and New Zealand Banking Group Limited (ANZ),5083687566
Banco Bilbao Vizcaya Argentaria (BBVA),might be added later
Bangkok Bank,might be added later
BMO Financial Group,4295860596
Charles Schwab,8589934318
CIBC,4295860600
Credit Suisse,might be added later
Flossbach & von Storch,might be added later
Groupe BPCE,might be added later
Grupo XP,might be added later
ING Group,4295884647
Janus Henderson,might be added later
J.P. Morgan Chase Bank,5000021791
Kotak Mahindra Finance Ltd,4295872395
Lazard Ltd.,might be added later
Magellan Financial Group,might be added later
Mitsubishi UFJ Financial,5000000933
PNC Financial Services,4295904676
RHB Banking,4298219772
Santander,8589934205
Scotiabank,4295860592
SMBC Group,4295878766
Swedbank Robur Fonder AB,8589934289
T. Rowe Price,4295907655
